,game_id,season,week,home_team,away_team,home_moneyline,spread_line,total_line,temp,wind
6601,2023_13_SEA_DAL,2023,13,DAL,SEA,-500.0,9.5,47.5,50.0,8.0
6602,2023_13_DEN_HOU,2023,13,HOU,DEN,-170.0,3.5,47.5,50.0,8.0
6603,2023_13_LAC_NE,2023,13,NE,LAC,185.0,-4.5,38.5,44.0,8.0
6604,2023_13_DET_NO,2023,13,NO,DET,164.0,-4.0,47.5,50.0,8.0
6605,2023_13_ATL_NYJ,2023,13,NYJ,ATL,105.0,-2.0,33.0,50.0,8.0
6606,2023_13_ARI_PIT,2023,13,PIT,ARI,-285.0,6.0,41.0,56.0,12.0
6607,2023_13_IND_TEN,2023,13,TEN,IND,102.0,-1.5,42.0,53.0,13.0
6608,2023_13_MIA_WAS,2023,13,WAS,MIA,350.0,-8.5,50.0,53.0,2.0
6609,2023_13_CAR_TB,2023,13,TB,CAR,-198.0,4.0,37.0,81.0,8.0
6610,2023_13_CLE_LA,2023,13,LA,CLE,-192.0,3.5,39.5,50.0,8.0
6611,2023_13_SF_PHI,2023,13,PHI,SF,124.0,-3.0,46.5,52.0,44.0
6612,2023_13_KC_GB,2023,13,GB,KC,215.0,-5.5,43.5,31.0,9.0
6613,2023_13_CIN_JAX,2023,13,JAX,CIN,-550.0,10.0,41.0,61.0,4.0
6885,2024_13_CHI_DET,2024,13,DET,CHI,-520.0,9.5,47.5,50.0,8.0
6886,2024_13_NYG_DAL,2024,13,DAL,NYG,-218.0,4.5,39.0,50.0,8.0
6887,2024_13_MIA_GB,2024,13,GB,MIA,-175.0,3.5,47.5,27.0,10.0
6888,2024_13_LV_KC,2024,13,KC,LV,-800.0,13.5,42.0,37.0,5.0
6889,2024_13_LAC_ATL,2024,13,ATL,LAC,-102.0,-1.0,47.0,50.0,8.0
6890,2024_13_PIT_CIN,2024,13,CIN,PIT,-155.0,3.0,46.0,32.0,9.0
6891,2024_13_HOU_JAX,2024,13,JAX,HOU,160.0,-3.5,44.5,50.0,8.0
6892,2024_13_ARI_MIN,2024,13,MIN,ARI,-185.0,3.5,45.5,50.0,8.0
6893,2024_13_IND_NE,2024,13,NE,IND,114.0,-2.5,41.5,36.0,9.0
6894,2024_13_SEA_NYJ,2024,13,NYJ,SEA,-115.0,1.0,41.5,37.0,12.0
6895,2024_13_TEN_WAS,2024,13,WAS,TEN,-250.0,6.0,45.0,42.0,6.0
6896,2024_13_TB_CAR,2024,13,CAR,TB,235.0,-6.5,46.0,51.0,7.0
6897,2024_13_LA_NO,2024,13,NO,LA,120.0,-2.5,48.5,50.0,8.0
6898,2024_13_PHI_BAL,2024,13,BAL,PHI,-162.0,3.0,50.0,41.0,7.0
6899,2024_13_SF_BUF,2024,13,BUF,SF,-340.0,6.5,45.0,28.0,11.0
6900,2024_13_CLE_DEN,2024,13,DEN,CLE,-290.0,6.5,41.5,48.0,4.0
